title,author,condition,price
Through the Iron Curtain Via the Back Door,by Kyaw Min,Rare Books,£11.19
Turning Points of General Church History,by Rev. Edward L. Cutts,Rare Books,£12.09
Franz Werfel 1890-1945,by Lore Foltin,Rare Books,£7.69
"Catalogue of the Jones Collection, Part III - Paintings and Miniatures",by Basil S. Long,Rare Books,£7.39
The World Encyclopedia of Film,by Tim Cawkwell,Rare Books,£11.09
Alice's Adventures in Wonderland,by Lewis Carroll,Rare Books,£15.09
Doctor and the Law,by J.Leahy Taylor,Rare Books,£9.99
Tenosynovitis: A Case of Mistaken Identity,by Alan Tindall,Rare Books,£15.19
What Shall We Do?,by Leo Tolstoy,Rare Books,£23.29
By What Authority?,by Hugh J. Schonfield,Rare Books,£12.99
"Talk of Many Things, A Book of True Fact and True Fancy in Prose and Verse",by R.Wilson,Rare Books,£5.89
The Breeding Bird Survey 2001,by M.J.Raven,Rare Books,£6.59
"Library Of Congress Classification. Class P. French, Italian, Spanish, And Portuguese Literatures",,Rare Books,£8.49
Winged Chariot,by Walter de la Mare,Rare Books,£8.49
Winged Chariot,by Walter de la Mare,Rare Books,£11.49
Playwrights' Progress: Patterns of Postwar British Drama,by Colin Chambers,Rare Books,£12.69
"Burleigh and his Times, John Hampden & Horace Walpole",by Lord Macaulay,Rare Books,£6.49
Catalogue Of Books Printed For Private Circulation,by B.Dobell,Rare Books,£6.99
Social Reality of Religion,by Peter L.Berger,Rare Books,£7.29
Jerusalem Correspondent 1919-1958,by Elias M.Epstein,Rare Books,£11.09
A Notebook of Commonwealth History,by James A. Williamson,Rare Books,£13.69
The Physical Basis of Geography,by S.W.Wooldridge,Rare Books,£5.49
Annual Reports on The Progress of Chemistry For 1961 Vol.LVIII,by R.S.Cahn,Rare Books,£21.89
Wild African Animals I Have Known,by Prince William of Sweden,Rare Books,£10.79
More Small Bore Heating,by Tom Stanley,Rare Books,£6.69
The Lamentations of a New Jeremiah,by Herbert Vivian,Rare Books,£10.79
Inflation in a Growing Economy,by Henry J Bruton,Rare Books,£16.79
Skiing Skills,by Jahn Rudiger,Rare Books,£7.29
Mr Wilberforce,by Alan Thornhill,Rare Books,£13.49
Svenskt Litteraturlexikon; Andra Utvidgade Upplagan,by Unstated,Rare Books,£5.99
Assessment at Alverno College,by Alverno College Faculty,Rare Books,£11.79
Pearson's Encyclopaedia of Chrysanthemums,by Monica Bennett,Rare Books,£5.99
Who's Who 1966,,Rare Books,£16.39
Nightmare Abbey & Crotchet Castle,by T.L.Peacock,Rare Books,£4.59
Radcliffe,by David Storey,Rare Books,£4.59
One Pair of Hands,by Monica Dickens,Rare Books,£3.99
Modern Concepts in Control Theory,by H A Prime,Rare Books,£18.39
Modern Concrete Construction: Volume IV,by W.H.Glanville (Ed.),Rare Books,£8.59
The Apocalypse,by A L Maycock,Rare Books,£13.69
Precis de Mineralogie,by Guy Aubert Claude Guillemin,Rare Books,£12.29
An American Idyll The Life of Carleton H. Parker,by Cornelia Stratton Parker,Rare Books,£6.89
The Water and The Fire,by Gerald Vann,Rare Books,£10.39
The Playful Sea Lion,by Harvec,Rare Books,£14.39
With Dog And Gun,by Noel M. Sedgwick,Rare Books,£8.89
Techniques in Data Communications,by Ralph Glasgal,Rare Books,£5.99
Paths of Light,by John Stewart Collis,Rare Books,£10.09
Vatican Observed,by John Moorman,Rare Books,£3.99
Jesus Christ: Heir to the Astronauts,by Gerhard R. Steinhauser,Rare Books,£6.69
All Change Here (Pathway series),by Elisabeth Batt,Rare Books,£5.49
The Geography of Communications in Great Britain,by J.H. Appleton,Rare Books,£7.09
Scholarship Dictionary,by A.J. Stoloff,Rare Books,£7.69
Studies In Victorian Literature,by Stanley T. Williams,Rare Books,£7.09
Heroes of Olden Days: Book 1,by C.F. Strong,Rare Books,£5.69
Mind You I've Said Nothing. Forays in the Irish Republic.,by Tracy Honor,Rare Books,£5.99
Honour Against Odds,by Ernest Protheroe,Rare Books,£6.79
The Merry Muse,by Eric Linklater,Rare Books,£5.49
A Short History Of Hms Kent 1653-1928,by Unstated,Rare Books,£6.59
2000 years of England,by John Gloag,Rare Books,£6.29
Return Engagement,by N Houghton,Rare Books,£7.19
Parisian Sketches: Letters to the New York Tribune 1875-1876,by Henry James,Rare Books,£7.29
If Any Man Build,by Kathleen Freeman,Rare Books,£6.69
The Middle Age of Mrs Eliot,by Angus Wilson,Rare Books,£5.49
Unravelling the Mystery : The Story of the Goldsmiths' Company in the Twentieth Century Volume One,by Peter Jenkins,Rare Books,£7.49
Madame Bluebeard: A Case for Anatole Fox,by Bruce Sanders,Rare Books,£5.49
Midsummer's Day,by Grace S Richmond,Rare Books,£5.79
"Collected Poems, 1894-1940",by James Henry Cousins,Rare Books,£7.59
Short Cut to Etiquette,by Edith M. Barber,Rare Books,£6.49
The Fragile Chain,by Annie Morecroft,Rare Books,£7.49
Triple Crown,by Colin Davy,Rare Books,£6.39
Nelson and The Hamiltons,by Jack Russell,Rare Books,£5.59
Her Majesty's Tower of London,by Colonel E. H. Carkeet-James,Rare Books,£7.49
"The Life of Ludwig van Beethoven, Vol. I",by Ed. Henry Edward Krehbiel,Rare Books,£7.09
The Animal World,by Lorna Lewis,Rare Books,£6.49
Drivers in Action,by Michael Frostick,Rare Books,£6.39
Marriage Bells and Other Tales,by Anon,Rare Books,£7.19
The 51 Capitals of the U.S.A.,by Mauriel Mandell,Rare Books,£5.69
Kill Me a Priest,by John Farrimond,Rare Books,£7.09
Best Stories of Enchantment and Magic,by Various,Rare Books,£7.09
Milton's England,by Lucia Ames Mead,Rare Books,£7.09
Day By Day,by Rev. W. H. Elliott,Rare Books,£7.89
Premières Poésies,by Alfred de Musset,Rare Books,£5.99
Balletomania: The Story of an Obsession,by Arnold Lionel Haskell,Rare Books,£6.59
Biologie et humanisme.,by Jean Rostand,Rare Books,£5.49
