title,author,condition,price
House of the Dragon: Season 1,,DVD,£20.99
Fawlty Towers - The Complete Collection (Remastered),,DVD,£4.49
Top Gear - The Complete Specials,,DVD,£25.99
In Sickness and in Health -The Complete Collection,,DVD,£20.99
The Sopranos: The Complete Series,,DVD,£25.99
It Ain't Half Hot Mum - Complete Collection,,DVD,£10.99
Person Of Interest: The Complete Series,,DVD,£37.99
Grimm: The Complete Series,,DVD,£51.99
Call the Midwife: Series 12,,DVD,£8.49
Star Trek The Original Series: Complete,,DVD,£38.99
The Secret Agent,,DVD,£5.99
A Touch of Frost - Complete Series 1-15,,DVD,£47.99
"You Rang, M'Lord? - The Complete Boxset Series One - Four",,DVD,£22.99
Line of Duty - Series 1-6 Complete Box Set,,DVD,£45.99
Columbo - Complete Season 1-10 Boxset,,DVD,£43.99
Bluey - Magic Xylophone and Other Stories (includes exclusive stickers and postcards),,DVD,£20.99
The Mentalist: The Complete Series,,DVD,£47.99
Tenko - The Complete Series,,DVD,£20.99
Castles in the Sky (BBC),,DVD,£5.99
Goodnight Mister Tom,,DVD,£3.59
Peaky Blinders - Series 6   English version,,DVD,£10.99
Red Dwarf Series 1 - 8 Boxset BD,,Blu-ray,£51.99
The Windermere Children,,DVD,£5.49
Attack On Titan: Complete Season One Collection,,Blu-ray,£40.99
Terry & June - The Complete Collection,,DVD,£12.99
Vera: Series 12 (Eps 1-4),,DVD,£20.99
Xena: Warrior Princess: Complete - Series 1-6,,DVD,£48.99
Sherlock Holmes: The Complete Collection,,DVD,£19.99
Shetland: Series 7,,DVD,£20.99
Thundercats: The Complete Collection,,DVD,£20.99
Police Squad!: The Complete Series,,DVD,£20.99
Modern Family Season 8,,DVD,£6.99
It's A Sin,,DVD,£5.49
J.K. Rowling - Strike: Lethal White,,DVD,£6.99
Star Trek - Enterprise: The Complete Collection,,DVD,£36.99
Top Cat: The Complete Series,,DVD,£9.99
Vera - Series 11 (Eps 1-6),,DVD,£46.99
The Mayor of Casterbridge,,DVD,£3.59
Jeeves and Wooster - Complete Collection,,DVD,£16.99
The Quatermass Collection: The Quatermass Experiment / Quatermass 2 / Quatermass & the Pit,,DVD,£8.49
Kojak - The Complete Series,,DVD,£39.99
Sharpe: The Complete Series (Collector's Edition),,DVD,£5.99
Ever Decreasing Circles - Complete Collection,,DVD,£5.49
Friends: The Complete Series,,DVD,£20.99
Bottom - Series 1-3,,DVD,£7.49
Mare of Easttown,,DVD,£6.99
Jane Eyre,,DVD,£3.59
Wild at Heart - Complete Boxed Set,,DVD,£44.99
Avengers - Tunnel Of Fear,,DVD,£20.99
Goodnight Sweetheart The Complete Series Four,,DVD,£3.59
Father Ted - Series 2 Part 2,,DVD,£3.59
How I Met Your Mother - Season 1-8,,DVD,£9.99
Asian Provocateur Series 1 & 2,,DVD,£3.59
Broadchurch - Series 3,,DVD,£4.49
Blackadder - The Complete Collection,,DVD,£3.59
In Bed With Madonna,,DVD,£3.59
Downton Abbey - Series 6,,DVD,£7.99
Fawlty Towers - Series 1,,DVD,£3.59
Brothers And Sisters - Season 4,,DVD,£3.59
Peppa Pig: The Muddy Puddles Collection,,DVD,£9.99
The Suspicions of Mr Whicher - The Complete Collection,,DVD,£27.99
Trolls: Holiday in Harmony,,DVD,£3.59
Porterhouse Blue,,DVD,£10.99
The Larry Sanders Show - Complete,,DVD,£51.99
The Chosen Season 1 DVD Box Set,,Accessory,£20.99
Geordie Shore - Series 1,,DVD,£3.59
ER: The Complete Tenth Season,,DVD,£3.59
Shetland Series 5,,DVD,£9.99
Marvel's Jessica Jones - Season 1,,DVD,£4.99
Last Tango in Halifax - Series 3,,DVD,£3.59
NCIS: Season 17,,DVD,£9.99
Lee Evans: The Ultimate Experience - Live,,DVD,£3.59
Our Girl,,DVD,£3.59
30 Rock - Season 6,,DVD,£3.59
The Civil War 25th Anniversary Edition - Restored for 2015,,DVD,£23.99
Lucifer: Season 3,,DVD,£5.49
The Secret War: The Complete Original 1977 Series,,DVD,£9.99
Unforgotten - Series 1 - 4 Boxset,,DVD,£32.99
The Likely Lads: Surviving Episodes From BBC Series 1-3,,DVD,£3.59
Rebus : Seasons 3-4 (6 Disc Set),,DVD,£6.49
Diana: The Interview that Shook the World,,DVD,£20.99
Call The Midwife Series 9,,DVD,£7.49
Gigglebiz: Captain Adorable & Friends (CBEEBIES),,DVD,£3.59
Peter Kay's Car Share Series 1 & 2 Boxset,,DVD,£16.99
The Banana Splits: Season 1,,DVD,£9.99
True Blood Season 3 (HBO),,Blu-ray,£3.99
Victoria - The Christmas Special: Comfort and Joy,,DVD,£4.49
100 Years of British Transport,,DVD,£20.99
The Pallisers,,DVD,£21.99
McMafia,,DVD,£3.99
So Little Time: Volume 1,,DVD,£3.59
CSI: Crime Scene Investigation Complete Season 8 Box Set,,DVD,£13.99
Supernatural: Season 15,,DVD,£20.99
Ray Donovan Season 5 (DVD),,DVD,£15.99
Doctor Who: The Day of the Doctor – 50th Anniversary Special,,DVD,£3.59
Criminal Minds - Season 11,,DVD,£5.49
Doctor Who Series 6 - Part 2,,DVD,£3.59
Torchwood - Series 1 Part 3 (Episodes 10-13),,DVD,£3.59
The Incredible Human Journey,,DVD,£3.59
Maggie and Her: The Complete Series,,DVD,£20.99
Last Tango in Halifax - Series 2,,DVD,£3.59
Demontown,,DVD,£3.59
Dark Angel: Complete Season 1,,DVD,£8.49
Agatha Christie's Poirot - Collection 7,,DVD,£15.99
The Haunting of Bly Manor,,Blu-ray,£20.99
Harry Hill's TV Burp Gold,,DVD,£3.59
The Chronicles of Narnia: The Complete Four Disc Collector's Edition,,DVD,£3.59
The Water Margin - Episodes 1-13,,DVD,£20.99
William Shakespeare's Macbeth,,DVD,£4.99
Doctor Who - The Time of the Doctor & Other Eleventh Doctor Christmas Specials,,Blu-ray,£8.49
Second World War Collection - Public Information Films Of The British Home Front 1939-1945  [20,,DVD,£5.49
Elementary - Season 4,,DVD,£3.59
Last of the Summer Wine - Series 19 & 20,,DVD,£7.49
Diego Maradona,,DVD,£3.59
Shetland: Series 1-3,,DVD,£4.99
Guy Martin's Proper Box Set,,DVD,£6.49
Francesco's Mediterranean Voyage,,DVD,£3.59
Vanity Fair (Repackaged),,DVD,£3.59
Borgen Trilogy,,DVD,£9.99
Marchlands,,DVD,£3.59
Dragon Ball Gt: Season 1,,DVD,£23.99
My Hero Academia: Season One Blu-ray,,Blu-ray,£14.99
Foyle's War - Series 2 Complete,,DVD,£3.59
Would I lie To You Series 6 (As seen on BBC1),,DVD,£13.99
Would I Lie To You - Series 5,,DVD,£15.99
Criminal Minds - Season 3,,DVD,£3.59
Banshee - Season 1-4,,DVD,£40.99
Home Fires,,DVD,£6.99
Bo' Selecta: Series 1-3 Plus Ho Ho Ho Selecta,,DVD,£6.99
Scott & Bailey - Series 4,,DVD,£3.59
Marvel's Agents of S.H.I.E.L.D. - Season 1,,Blu-ray,£3.59
David Attenborough's Natural Curiosities - Series 1 & 2,,DVD,£4.49
Vikings,,DVD,£4.49
One Piece (Uncut) Collection 15 (Episodes 349-372),,DVD,£51.99
"The IT Crowd, Version 4.0",,DVD,£3.59
Red Dwarf - Series XII,,Blu-ray,£10.99
Mad Men - Season 4,,DVD,£3.59
Thomas And Friends - Classic Collection - Series 8,,DVD,£3.59
Agatha Christie's Poirot: Yellow Iris / The Case Of The Missing Will,,DVD,£3.59
Silent Witness - Series 5-6,,DVD,£6.49
It's A Sin,,Blu-ray,£6.99
The Sentimental Agent - Complete Series,,DVD,£20.99
Doctor Who - The Movie,,Blu-ray,£8.99
The Six Million Dollar Man: Series 1,,DVD,£16.99
The Ashes Series 2010/2011 Complete Collection 7DVD Box Set,,DVD,£3.99
Prisoners of War - Season 2,,DVD,£6.99
Spooks - BBC Series 8 (New Packaging),,DVD,£3.59
Jonathan Strange & Mr Norrell,,DVD,£20.99
The Killing: The Complete Season 2,,DVD,£3.59
Family Guy - Season 13,,DVD,£3.59
Life on Mars - Complete BBC Series 1-2 (New Packaging),,DVD,£9.99
Star Trek The Next Generation - Season 5 (Slimline Edition),,DVD,£3.99
Prohibition,,DVD,£20.99
Tutankhamun,,DVD,£6.49
Fat Friends: Series 3,,DVD,£3.99
Picnic at Hanging Rock,,DVD,£5.99
American Horror Story S7: Cult,,Blu-ray,£8.49
Notorious,,DVD,£10.99
Coming Of Age - Series 1,,DVD,£9.99
Grand Designs: Series 7,,DVD,£3.99
Take The High Road - Volume 3 Episodes 13-18,,DVD,£3.59
Monarchy : The Royal Family at Work - Complete BBC Series,,DVD,£3.59
Shed Your Tears and Walk Away,,DVD,£3.59
Rab C. Nesbitt - Series 5,,DVD,£3.59
Mad Men - Season 6,,Blu-ray,£18.99
Wild Wales,,DVD,£6.49
Torchwood - Torchwood - Series 1 Box Set,,Blu-ray,£13.99
The Shield - Season 7 - Complete,,DVD,£3.59
HARDY BUCKS COMEDY SERIES,,DVD,£44.99
Orde Wingate BBC,,DVD,£3.59
Top Gear - The Perfect Road Trip 2,,Blu-ray,£3.59
Mobile,,DVD,£3.59
Boon - The Complete Second Series,,DVD,£10.99
A Town Called Eureka - Season 2 - Complete,,DVD,£3.59
The Koala Brothers - Mitzi's Day Out,,DVD,£5.99
Keanu Reeves - Journey To Success  (NTSC),,DVD,£3.99
The Persuaders - Complete Series,,DVD,£24.99
Engie Benjy: Help Is At Hand,,DVD,£7.99
Rare and Unseen: Take That,,DVD,£3.99
CKY Trilogy - Round 1,,DVD,£8.99
"War - ""Gulf War, The - Ten Years On! (DVD)""",,DVD,£7.99
Ffestiniog Railway,,DVD,£3.99
Death By Misadventure,,DVD,£13.99
